no_entidade,ds_endereco,nu_endereco,no_bairro,co_cep,sg_uf,no_municipio,nu_ddd,nu_telefone
BATISTA SANTOS DUMONT COL,RUA DESEMBARGADOR LEITE ALBUQUERQUE,1056,ALDEOTA,60150150,CE,Fortaleza,85,40082300
SERAFICO NOSSA SENHORA DO BRASIL COLEGIO,AVENIDA FREI CIRILO,4454-A,MESSEJANA,60840285,CE,Fortaleza,85,32742112
NOSSA SENHORA DO CARMO COLEGIO,RUA ELVIRA PINHO,400,MONTESE,60421000,CE,Fortaleza,85,32250601
CECILIA COLEGIO SANTA,AVENIDA SENADOR VIRGILIO TAVORA,2000,ALDEOTA,60170251,CE,Fortaleza,85,30642377
COLEGIO CHRISTUS BARAO DE STUDART,RUA JOAO CARVALHO,630,ALDEOTA,60140140,CE,Fortaleza,85,32661800
CENTRO EDUCACIONAL SAO JOSE,RUA BOA NOITE,149,MONTESE,60421570,CE,Fortaleza,85,32321541
ESCOLA SESI EUZEBIO MOTA DE ALENCAR,AVENIDA JOAO PESSOA,6754,PARANGABA,60721340,CE,Fortaleza,85,34216147
FATIMA CENTRO EDUCACIONAL NOSSA SENHORA DE,RUA FREI HENRIQUE,48,MESSEJANA,60841280,CE,Fortaleza,85,34590479
FRANCISCO PEREIRA COLEGIO CONEGO,RUA INACIO ORIA,470,MESSEJANA,60840460,CE,Fortaleza,85,40120770
COLEGIO ARI DE SA CAVALCANTE WASHINGTON SOARES,AVENIDA WASHINGTON SOARES,3737,EDSON QUEIROZ,60811341,CE,Fortaleza,85,34772000
SANTO INACIO COLEGIO,AVENIDA DESEMBARGADOR MOREIRA,2355,DIONISIO TORRES,60170173,CE,Fortaleza,85,30663013
COLEGIO PADRE JOAO PIAMARTA,RUA PADRE JOAO PIAMARTA,161,MONTESE,60410315,CE,Fortaleza,85,34941529
INSTITUTO EDUCACIONAL JOSE DE ALENCAR SC LTDA,RUA HUGO VITOR,730,ANTONIO BEZERRA,60360820,CE,Fortaleza,85,32353571
JOSE JULIO CENTRO PEDAGOGICO,RUA JOSE JULIO FEITOSA,120,SAPIRANGA,60833552,CE,Fortaleza,85,34761249
AGNUS COLEGIO,RUA TEODORICO BARROSO,827,MONTESE,60420314,CE,Fortaleza,85,34912746
DARWIN COLEGIO,RUA ILDEFONSO ALBANO,1030,ALDEOTA,60115000,CE,Fortaleza,85,32212820
LUIZ BARBOSA MOREIRA PATRONATO PE,RUA CORONEL GUILHERME ALENCAR,121,MESSEJANA,60840340,CE,Fortaleza,85,32290755
JULIA FIALHO ENSINO FUNDAMENTAL COLEGIO,RUA JOSE ACIOLY,73,ANTONIO BEZERRA,60350300,CE,Fortaleza,85,32351411
MEDICI INSTITUTO EDUCACIONAL PRESIDENTE,RUA CESAR CORREIA,973,FLORESTA,60336244,CE,Fortaleza,85,32282206
ORGANIZACAO EDUCACIONAL QUEIROZ BELEM SS LTDA,RUA 105,120,CONJUNTO ESPERANCA,60763540,CE,Fortaleza,85,32962614
7 DE SETEMBRO COLEGIO - EBS,RUA HENRIQUETA GALENO,1011,DIONISIO TORRES,60135420,CE,Fortaleza,85,40067930
HELENA COLEGIO SANTA,AVENIDA CONTORNO NORTE,819,CONJUNTO ESPERANCA,60763730,CE,Fortaleza,85,32985721
TELEYOS COLEGIO,AV. CONTORNO NORTE,1260,CONJUNTO ESPERANCA,60711220,CE,Fortaleza,85,31449900
ORGANIZACAO EDUCACIONAL PROGRESSIVO,RUA IGUAPE,66,PARANGABA,60720490,CE,Fortaleza,85,30552886
MATHEUS CENTRO EDUCACIONAL SAO,RUA 110,110,CONJUNTO ESPERANCA,60763590,CE,Fortaleza,85,32964416
LUZ DO SABER CENTRO EDUCACIONAL,RUA OTAVIO ROCHA,410,EDSON QUEIROZ,60811830,CE,Fortaleza,85,32474591
BATISTA SANTOS DUMONT - COLEGIO ANEXO I,RUA HIL DE MORAES,124,EDSON QUEIROZ,60811760,CE,Fortaleza,85,32731282
COLEGIO AFONSO ANDRADE,RUA CORONEL MATOS DOURADO,168,ANTONIO BEZERRA,60360590,CE,Fortaleza,85,32354338
COLEGIO LOURENCO FILHO - PARANGABA,RUA CONEGO DE CASTRO,700,PARANGABA,60720096,CE,Fortaleza,85,32933000
FARIAS BRITO JOVEM SEIS BOCAS COLEGIO,RUA SALVADOR CORREIA DE SA,1111,SAPIRANGA,60833183,CE,Fortaleza,85,30642852
NOVO TEMPO ESC,RUA MAJOR CELESTINO,614,ANTONIO BEZERRA,60361030,CE,Fortaleza,85,32354637
COLEGIO RAIO DE LUZ,RUA ARARIBOIA,192,PARANGABA,60710140,CE,Fortaleza,85,34951239
PRIMEIRO DEGRAU ESCOLA,RUA ANTNIO FURTADO,1055,DIONISIO TORRES,60130230,CE,Fortaleza,85,34722002
ESCOLA TIA JOYCE,RUA CLARINDO PEREIRA,1108,EDSON QUEIROZ,60834475,CE,Fortaleza,85,32736521
ESCOLA NOVO MILENIO LTDA - ME,RUA GUILHERME PERDIGAO,516,PARANGABA,60720420,CE,Fortaleza,85,32920228
GRILO FALANTE ESCOLA INFANTIL,RUA CORONEL ALEXANDRINO,400,MONTESE,60420700,CE,Fortaleza,85,32452531
ARI DE SA CAVALCANTE SEDE MARIO MAMEDE COLEGIO,RUA JOSE MARIO MAMEDE,200,EDSON QUEIROZ,60834366,CE,Fortaleza,85,34772000
COLEGIO ANTARES - ATS,RUA BARBOSA DE FREITAS,2058,DIONISIO TORRES,60170020,CE,Fortaleza,85,30340700
DUQUE DE CAXIAS COLEGIO,RUA PERU,1675,PARANGABA,60740510,CE,Fortaleza,85,34695791
CENTRO DE ENSINO GRAU TECNICO UNIDADE MONTESE,RUA BARAO DE SOBRAL,712,MONTESE,60420775,CE,Fortaleza,85,32929222
COLEGIO CEARENSE TOTAL,AVENIDA D,85,CONJUNTO ESPERANCA,60763470,CE,Fortaleza,85,34675657
ESSENCIAL COLEGIO,RUA PEDRO MELO,1005,ANTONIO BEZERRA,60360220,CE,Fortaleza,85,32351466
NOVA DIMENSAO COLEGIO,AVENIDA EDILSON BRASIL SOARES,1599,EDSON QUEIROZ,60834005,CE,Fortaleza,85,30778700
PAIVA ANDRADE COLEGIO,RUA INACIO MOREIRA,133,MESSEJANA,60871585,CE,Fortaleza,85,34724700
COLEGIO ANTARES ATS,AVENIDA PRESIDENTE ARTUR BERNARDES,2451,SAPIRANGA,60833201,CE,Fortaleza,85,33088282
COLEGIO ATENEU,RUA GURGEL DO AMARAL,1270,MESSEJANA,60871170,CE,Fortaleza,85,32764796
ARI DE SA CAVALCANTE SEDE ALDEOTA COLEGIO,TRAVESSA MONSENHOR CATAO,1655,ALDEOTA,60175010,CE,Fortaleza,85,34868400
FARIAS BRITO SEIS BOCAS COLEGIO,AVENIDA ENGENHEIRO LEAL LIMA VERDE,700,SAPIRANGA,60833175,CE,Fortaleza,85,30642800
MARIA DO CARMO ESPACO DA CRIANCA ESCOLA,RUA ENGENHEIRO PAULO CESAR BARBOSA,107,EDSON QUEIROZ,60811750,CE,Fortaleza,85,32781478
PAULO PICANCO CENTRO EDUCACIONAL PROFISSIONAL,RUA JOAQUIM SA,900,DIONISIO TORRES,60135218,CE,Fortaleza,85,32723222
CENTRO DE ENSINO GRAU TECNICO UNIDADE WASHINGTON SOARES,AVENIDA WASHINGTON SOARES,3939,SAPIRANGA,60833005,CE,Fortaleza,85,30485555
COLEGIO EVOLUIR,RUA CANDIDO MAIA,109,ANTONIO BEZERRA,60356830,CE,Fortaleza,85,32859893
COLEGIO ERNESTO GURGEL,RUA PADRE PEDRO DE ALENCAR,81,MESSEJANA,60840280,CE,Fortaleza,85,32742919
CASA DE CRIANCA ESCOLA CRECHE LTDA,RUA JOAQUIM NABUCO,2725,DIONISIO TORRES,60125121,CE,Fortaleza,85,32617621
GETSEMANI CENTRO EDUCACIONAL,RUA TOMAS RODRIGUES,1250,ANTONIO BEZERRA,60361000,CE,Fortaleza,85,32352437
JOSE DE ALENCAR CENTRO EDUCACIONAL LTDA,RUA HUGO VITOR,686,ANTONIO BEZERRA,60360820,CE,Fortaleza,85,32351031
ESCOLA CHECHE SANTA TEREZINHA,RUA GOMES BRASIL,55,PARANGABA,60720150,CE,Fortaleza,85,32259411
COLEGIO CHRISTUS UNIDADE SUL,AVENIDA ENGENHEIRO LEAL LIMA VERDE,2265,EDSON QUEIROZ,60834385,CE,Fortaleza,85,32514100
COLEGIO CHRISTUS DIONISIO TORRES,RUA ISRAEL BEZERRA,630,DIONISIO TORRES,60135460,CE,Fortaleza,85,32771500
UNIVERSO COLORIDO CENTRO EDUCACIONAL,RUA CIDADE ECOLOGICA,939,EDSON QUEIROZ,60812450,CE,Fortaleza,85,32786410
NOVO MUNDO INSTITUTO PEDAGOGICO,RUA ALPINOPOLIS,148,SAPIRANGA,60833036,CE,Fortaleza,85,32785088
INFANCIA FELIZ ESCOLA,AVENIDA ENGENHEIRO LEAL LIMA VERDE,1263,SAPIRANGA,60833175,CE,Fortaleza,85,30511130
J OLIVEIRA COLEGIO,RUA OSVALDO CRUZ,2312,DIONISIO TORRES,60170250,CE,Fortaleza,85,32619656
CAMINHARTE I CRECHE ESCOLA,RUA ROMEU MARTINS,433,MONTESE,60420720,CE,Fortaleza,85,34940839
COLEGIO ASCENSO FERREIRA,AVENIDA ARMINDO MOURA,263,BOA VIAGEM,51130180,PE,Recife,81,33413994
APOIO GRUPO DE ASSES EDUCAC E PEDAGOGICA,RUA CONSELHEIRO NABUCO,44,CASA AMARELA,52051440,PE,Recife,81,34415015
COLEGIO BOA VIAGEM LTDA,RUA PROFESSOR EDUARDO WANDERLEY FILHO,539,BOA VIAGEM,51020170,PE,Recife,81,34654444
GERACAO COLEGIO E CURSO,RUA DEPUTADO CUNHA RABELO,1235,VARZEA,50740400,PE,Recife,81,34532114
COLEGIO MARIA TEREZA,RUA BARAO DE SOUZA LEAO,1647,IMBIRIBEIRA,51210080,PE,Recife,81,32011600
INSTITUTO SANTA MARIA MAZZARELLO,AVENIDA AFONSO OLINDENSE,1553,VARZEA,50810000,PE,Recife,81,32710825
COLEGIO ADVENTISTA DO RECIFE,RUA GERVASIO PIRES,700,BOA VISTA,50050070,PE,Recife,81,34214225
COLEGIO 2001,RUA DO RIACHUELO,403,BOA VISTA,50050400,PE,Recife,81,34234533
COLEGIO SALESIANO SAGRADO CORACAO,RUA DOM BOSCO,551,BOA VISTA,50070070,PE,Recife,81,21295900
COLEGIO DAS DAMAS DA INSTRUCAO CRISTA,AVENIDA RUI BARBOSA,1426,GRACAS,52050000,PE,Recife,81,31394500
COLEGIO PRESBITERIANO AGNES ERSKINE,AVENIDA RUI BARBOSA,704,GRACAS,52011040,PE,Recife,81,31316950
COLEGIO SANTA CATARINA,ESTRADA DO ARRAIAL,2740,TAMARINEIRA,52051380,PE,Recife,81,33341160
COLEGIO MARISTA SAO LUIS,AVENIDA RUI BARBOSA,1104,GRACAS,52050000,PE,Recife,81,40095355
COLEGIO VERA CRUZ RECIFE,AVENIDA RUI BARBOSA,57,GRACAS,52011040,PE,Recife,81,32221876
COLEGIO NOSSA SRA DE LOURDES,AVENIDA CONSELHEIRO ROSA E SILVA,1767,TAMARINEIRA,52050020,PE,Recife,81,34419396
INSTITUTO CAPIBARIBE,RUA DAS GRACAS,51,GRACAS,52011200,PE,Recife,81,32214950
SOCIEDADE DE ORIENTACAO PSICOPEDAGOGICA,RUA ABELARDO,131,GRACAS,52050310,PE,Recife,81,34270388
ACADEMIA CRISTA DE BOA VIAGEM,AVENIDA VISCONDE DE JEQUITINHONHA,355,BOA VIAGEM,51021190,PE,Recife,81,33125000
COLEGIO SANTA MARIA,RUA PADRE BERNARDINO PESSOA,512,BOA VIAGEM,51020210,PE,Recife,81,34655133
ESCOLA MUNDO,RUA VARSOVIA,520,IMBIRIBEIRA,51180070,PE,Recife,81,33148988
ESCOLA PINHEIROS,RUA ARQUITETO LUIZ NUNES,673,IMBIRIBEIRA,51170435,PE,Recife,81,31299179
CENTRO DE CULTURA INFANTIL REINO MAGICO,ESTRADA DO ARRAIAL,2949,TAMARINEIRA,52051380,PE,Recife,81,32681426
COLEGIO ELO,RUA JOSE PARAISO,189,BOA VIAGEM,51030390,PE,Recife,81,31349494
ESCOLA ASSEMBLEIA DE DEUS,RUA CONSELHEIRO RIBAS,20,CASA AMARELA,52070400,PE,Recife,81,38232398
COLEGIO CONHECER,RUA ZEZITO COSTA REGO,130,VARZEA,50740010,PE,Recife,81,32710233
COLEGIO NUCLEO,AVENIDA RUI BARBOSA,1680,GRACAS,52050000,PE,Recife,81,30341177
ESCOLA VILA SEZAMO,RUA MURICI,46,CASA AMARELA,52071070,PE,Recife,81,32688104
ESCOLA PEDRO LEANDRO,RUA CAROLINA,426,CASA AMARELA,52070480,PE,Recife,81,31290400
COLEGIO ALBERT SABIN,TRAVESSA INACIO MONTEIRO,295,CORDEIRO,50721321,PE,Recife,81,30976661
ESCOLA AMERICANA DO RECIFE,RUA SA E SOUZA,408,BOA VIAGEM,51030065,PE,Recife,81,33414716
GRUPO EDUC DO RECIFE ANGLO LIDER,RUA CAMILO COLIER,136,CORDEIRO,50721220,PE,Recife,81,34451144
MD EDUCACIONAL- COLEGIO MADRE DE DEUS UNIDADE II,RUA JOAO CARDOSO AIRES,705,BOA VIAGEM,51130300,PE,Recife,81,33411747
COLEGIO PONTUAL CENTRO EDUCACIONAL LTDA,RUA MARECHAL MANOEL LUIS OSORIO,495,VARZEA,50740450,PE,Recife,81,32714616
ESCOLA TECNICA LEIAUT CARIELO,RUA JOAQUIM FELIPE,119,SOLEDADE,50050345,PE,Recife,81,30815552
COLEGIO GGE,RUA JOSE DA SILVA LUCENA,18,IMBIRIBEIRA,51150430,PE,Recife,81,34672588
ESCOLA PROFISSIONALIZANTE DE ENFERMAGEM DE ISRAEL,AVENIDA NORTE MIGUEL ARRAES DE ALENCAR,5049,TAMARINEIRA,52051000,PE,Recife,81,30190907
ESCOLA CASTELO ENCANTADO LTDA,RUA CLODOMIRO SELVA,194,CASA AMARELA,52070470,PE,Recife,81,32694368
COLEGIO MADRE DE DEUS ZONA NORTE,RUA SEBASTIAO ALVES,73,TAMARINEIRA,52060100,PE,Recife,81,32044179
ESCOLA GERACAO ATUAL,ESTRADA DO ARRAIAL,4341,CASA AMARELA,52070230,PE,Recife,81,32679176
COLEGIO GRANDE PASSO,RUA PROFESSOR AURELIO DE CASTRO CAVALCANTI,97,BOA VIAGEM,51130280,PE,Recife,81,33415362
COLEGIO E CURSO ATITUDE,RUA DOUTOR TOME DIAS,75,CASA AMARELA,52070370,PE,Recife,81,32691601
EDUCANDARIO EVANGELICO IDEAL,RUA RODRIGUES SETE,412,CASA AMARELA,52051230,PE,Recife,81,32693865
COLEGIO ANGLO LIDER,RUA VISCONDE DE ABAETE,200,TAMARINEIRA,52110010,PE,Recife,81,33048400
ESCOLA POLITEC I E II,AVENIDA CONDE DA BOA VISTA,1546,SOLEDADE,50060003,PE,Recife,81,32225252
CENTRO DE ENSINO GRAU I BOA VISTAI BOA VISTA,AVENIDA CONDE DA BOA VISTA,1209,SOLEDADE,50060003,PE,Recife,81,30373939
CENTRO EDUCACIONAL CAVALCANTI HEISSLER,RUA ADELMAR TAVARES,25,CORDEIRO,50630660,PE,Recife,81,34450103
COLEGIO E CURSO DESAFIO,RUA PROFESSOR ANTONIO COELHO,50,VARZEA,50740020,PE,Recife,81,32745010
COLEGIO CBV JAQUEIRA,RUA DOUTOR JOSE MARIA,1106,TAMARINEIRA,52041800,PE,Recife,81,34654444
DAY CARE INFANTIL EDUCAR,RUA DOM SEBASTIAO LEME,137,GRACAS,52011160,PE,Recife,81,9.7311E8
ESCOLA BRINQUEDOS E BRINCADEIRAS,RUA CONSELHEIRO NABUCO,,CASA AMARELA,52070010,PE,Recife,81,32652783
COLEGIO COGNITIVO,AVENIDA ANTINIO TORRES GALVIO,283,IMBIRIBEIRA,51160330,PE,Recife,81,32690047
RED HOUSE INTERNATIONAL SCHOOL,RUA CONFEDERACAO DO EQUADOR,77,GRACAS,52011060,PE,Recife,81,20117777
CENTRO EDUCACIONAL NOSSA SRA DO RESGATE,RUA SILVEIRA MARTINS,1,CABULA,41150000,BA,Salvador,71,21027500
SARTRE ESCOLA SEB - NOBEL,RUA JOAO VARELA,184,ITAIGARA,41815070,BA,Salvador,71,22012100
COLEGIO SAO LAZARO,RUA SILVEIRA MARTINS,445,CABULA,41150000,BA,Salvador,71,21020500
COLEGIO 2 DE JULHO,AVENIDA LEOVIGILDO FILGUEIRAS,81,GARCIA,40100000,BA,Salvador,71,31143400
COLEGIO ADVENTISTA DE SALVADOR,LADEIRA DO HOSPITAL,21,NAZARE,40050420,BA,Salvador,71,21070800
COLEGIO ANCHIETA,PRACA PADRE ANCHIETA,126,PITUBA,41810830,BA,Salvador,71,21079000
COLEGIO ANTONIO VIEIRA,LEOVIGILDO FILGUEIRAS,683,GARCIA,40100000,BA,Salvador,71,33289514
COLEGIO DO SAGRADO CORACAO DE JESUS- VERBO EDUCACAO LTDA-ME,AVENIDA JOANA ANGELICA,1380,NAZARE,40050002,BA,Salvador,71,30177694
COLEGIO MODULO,AVENIDA PROFESSOR MAGALHAES NETO,1177,PITUBA,41810011,BA,Salvador,71,21021300
LICEU SALESIANO DO SALVADOR,PRACA CONSELHEIRO ALMEIDA COUTO,374,NAZARE,40050405,BA,Salvador,71,9.8259E8
COLEGIO FRANCISCANO SANTA CLARA,RUA SANTA CLARA,S/N,NAZARE,40040450,BA,Salvador,71,22034000
COLEGIO SAO PAULO,RUA LUIS PORTELA DA SILVA,628,ITAIGARA,41815290,BA,Salvador,71,21074600
COLEGIO SS SACRAMENTO,AVENIDA LEOVIGILDO FILGUEIRAS,211,GARCIA,40100000,BA,Salvador,71,33114000
ESCOLA DE EDUCACAO BASICA E PROFISSIONAL FUNDACAO BRADESCO,AVENIDA ENGENHEIRO RAYMUNDO CARLOS NERY,818,CAJAZEIRAS,41340280,BA,Salvador,71,33951652
MARIA RITA DA SILVA COSTA ME,RUA SILVEIRA MARTINS 208 B CABULA,,CABULA,41150000,BA,Salvador,.,.
ESCOLA GIRASSOL,RUA SILVIO VALENTE,384,ITAIGARA,41815370,BA,Salvador,71,21096736
ESCOLA TEMPO DE CRIANCA LTDA,RUA DO BENJOIM 929,,ITAIGARA,41820340,BA,Salvador,.,.
JARDIM DE INFANCIA AM LTDA,RUA ALBERTO SILVA N178,,ITAIGARA,41815000,BA,Salvador,.,.
SARTRE ESCOLA SEB - ITAIGARA,RUA REITOR MACEDO COSTA,108,ITAIGARA,41815150,BA,Salvador,71,22012100
COLEGIO OFICINA,AV. MIGUEL NAVARRO Y. CANIZARES,423,PITUBA,41810215,BA,Salvador,71,32704100
CURSO E COLEGIO IDEAL SENIOR,RUA GUARACAIMA,196,PIATA,41650320,BA,Salvador,71,33753131
ESCOLA NOSSA SENHORA DA LUZ,RUA CEARA,852,PITUBA,41830451,BA,Salvador,71,32487403
UNIDADE SESI RETIRO,PRACA VISCONDE DE MONTE ALEGRE,S/N,LARGO DO RETIRO,40354190,BA,Salvador,.,.
CENTRO EDUCACIONAL TITANIA,ESTRADA DO COQUEIRO GRANDE,223,CAJAZEIRAS,41342315,BA,Salvador,71,33951878
ESCOLA TEMPO DE APRENDER,RUA PREDILIANO PITTA,108,GARCIA,40100200,BA,Salvador,71,33315567
ESCOLA PARQUE DA CRIANCA LTDA,RUA SILVEIRA MARTINS,3806,CABULA,41150000,BA,Salvador,71,32305565
COLEGIO SUPERIOR,RUA DOUTOR EDISON TEIXEIRA BARBOSA,39E,CAJAZEIRAS,41342165,BA,Salvador,71,33056312
COLEGIO EVOLUCAO,CAMINHO 15-QUADRA C,1/3,CAJAZEIRAS,41339244,BA,Salvador,71,33951462
COLEGIO SOPHIA,RUA GENEBALDO FIGUEIREDO,10,ITAPUA,41610180,BA,Salvador,71,32493860
ESCOLA ADALBERTO CARVALHO,CAMINHO 13-QUADRA B,01 B,CAJAZEIRAS,41339172,BA,Salvador,71,32382491
CURSO E COLEGIO FORTUNATO,RUA SILVEIRA MARTINS,384,CABULA,41150000,BA,Salvador,71,32572315
CENTRO INTEGRADO DE EDUCACAO EPC,RUA DO BOIADEIRO,35-E,AGUAS CLARAS,41310060,BA,Salvador,71,33096476
SENAI CIMATEC,AV. ORLANDO GOMES,1845,PIATA,41650010,BA,Salvador,.,.
CENTRO DE CULTURA E CONHECIMENTO ESCOLA CASA DA INFANCIA,RUA SILVIO VALENTE,88,ITAIGARA,41815370,BA,Salvador,71,30332202
ESCOLA SESC NAZARE ZILDA ARNS,RUA DA JAQUEIRA,36,SAUDE,40040570,BA,Salvador,71,32429815
COLEGIO FAVO DE MEL KIDS LTDA ME,RUA SILVEIRA MARTINS 208 B CABULA,,CABULA,41150000,BA,Salvador,.,.
CENTRO DE EDUCACAO GALILEIA EIRELI,RUA ANTONIO CANDIDO DE LIMA 130 NARANDIBA,,CABULA,41150500,BA,Salvador,.,.
CIEP - CENTRO INTERNACIONAL DE EVOLUCAO PROFISSIONAL E PESSOAL,RUA SANTA BARBARA,5,PIATA,41650050,BA,Salvador,71,33635777
VILLA CONHECO CRECHE E ESPACO DE EDUCACAO,RUA JUIZ ORLANDO HELENO DE MELO,112,PIATA,41650465,BA,Salvador,71,32861161
ESCOLA CONCEPT,AVENIDA ORLANDO GOMES,1094,PIATA,41650010,BA,Salvador,71,22012777
COLEGIO DOM BOSCO,RUA DA GRATIDAO,10,PIATA,41650195,BA,Salvador,71,30365555
COLEGIO APRENDIZ,RUA JOAO DE SOUZA REGO,7,PIATA,41650115,BA,Salvador,71,35655477
ESCOLINHA PLIC E PLOC,AVENIDA LEOVIGILDO FILGUEIRAS,316,GARCIA,40100000,BA,Salvador,71,30421064
ESCOLA INOVAR,RUA ERICO VERISSIMO,53,ITAIGARA,41815340,BA,Salvador,71,31610990
EDUCANDARIO PEDACINHO DO CEU,RUA ORLANDO JOSE RIBEIRO,30,AGUAS CLARAS,41337390,BA,Salvador,71,21367492
CENTRO DE EDUCACAO TSSALEAH LTD,RUA ANTONIO CANDIDO LIMA 130 CABULA SALVADOR,,CABULA,41150500,BA,Salvador,.,.
ANANDA ESCOLA E CENTRO DE ESTUDOS,RUA ADRIANO JOAQUIM DOS SANTOS,SN,ITAPUA,41635140,BA,Salvador,71,32499202
UNIDADE SESI PIATA,AVENIDA ORLANDO GOMES,1737,PIATA,41650010,BA,Salvador,.,.
ESC INF CHEZ LENFANT,RUA ARAGUARI,1400,SANTO AGOSTINHO,30190111,MG,Belo Horizonte,31,32922112
COLEGIO SAO JOSE DE ENSINO FUNDAMENTAL E MEDIO,RUA BUENO BRANDAO,151,FLORESTA,31015178,MG,Belo Horizonte,31,32225328
COLEGIO NOSSA SENHORA DAS DORES,AVENIDA FRANCISCO SALES,77,FLORESTA,30150220,MG,Belo Horizonte,31,32266993
COLEGIO SANTA MARIA MINAS - UNIDADE FLORESTA,RUA JACUI,237,FLORESTA,31110050,MG,Belo Horizonte,31,34495500
COLEGIO SANTA RITA DE CASSIA,RUA COSTA BELEM,122,BARREIRO,30642000,MG,Belo Horizonte,31,33843064
COLEGIO SANTO AGOSTINHO,AVENIDA AMAZONAS,1803,SANTO AGOSTINHO,30180007,MG,Belo Horizonte,31,21256888
COLEGIO MARISTA PADRE EUSTAQUIO,CESARIO ALVIM,810,PADRE EUSTAQUIO,30720270,MG,Belo Horizonte,31,34697900
COLEGIO SAO LUIS GONZAGA,RUA GENERAL CARNEIRO,397,SAGRADA FAMILIA,31030170,MG,Belo Horizonte,31,30553508
ESCOLA TECNICA VITAL BRASIL,RUA HENRIQUE GORCEIX,169,PADRE EUSTAQUIO,30720360,MG,Belo Horizonte,31,34131266
COLEGIO BATISTA MINEIRO,RUA PONTE NOVA,665,COLEGIO BATISTA,31110150,MG,Belo Horizonte,31,34297268
COLEGIO SAO PAULO,RUA EDUARDO PORTO,488,CIDADE JARDIM,30380060,MG,Belo Horizonte,31,32538400
JARDIM DE INFANCIA PEDACINHO DE GENTE,RUA JOAO GUALBERTO FILHO,141,SAGRADA FAMILIA,31030410,MG,Belo Horizonte,31,34826414
COLEGIO FREDERICO OZANAM,RUA JERONIMO MONTEIRO,48,BOA VISTA,31060210,MG,Belo Horizonte,31,34850260
INSTITUTO CECILIA MEIRELES - SANTO AGOSTINHO,RUA OURO PRETO,1122,SANTO AGOSTINHO,30170041,MG,Belo Horizonte,31,33378774
COLEGIO SAO PAULO DA CRUZ,AVENIDA SINFRONIO BROCHADO,1281,BARREIRO,30640000,MG,Belo Horizonte,31,33842205
CENTRO EDUCACIONAL PIO XII,AV. CONTORNO,8902,SANTO AGOSTINHO,30110062,MG,Belo Horizonte,31,33376055
COLEGIO LOYOLA,AVENIDA DO CONTORNO,7919,LOURDES,30110051,MG,Belo Horizonte,31,21027030
COLEGIO SANTA DOROTEIA,RUA CHICAGO,240,SION,30315520,MG,Belo Horizonte,31,32852245
ESCOLA AMERICANA DE BELO HORIZONTE,AVENIDA PROFESSOR MARIO WERNECK,3301,BURITIS,30575180,MG,Belo Horizonte,31,33198300
ESCOLA CRISTA IBF,RUA PONTE NOVA,615,COLEGIO BATISTA,31110150,MG,Belo Horizonte,31,34211502
INSTITUTO EDUCACIONAL DENTINHO DE LEITE,RUA HENRIQUE GORCEIX,549,PADRE EUSTAQUIO,30720360,MG,Belo Horizonte,31,34629696
CAT GEN ONESIMO BECKER DE ARAUJO,CIPRIANO DE CARVALHO,255,BARREIRO,30640130,MG,Belo Horizonte,.,.
ASSOCIACAO COMUNIDADE ESCOLA COMUMVIVER,AVENIDA BARBACENA,1.477,SANTO AGOSTINHO,30190131,MG,Belo Horizonte,31,32753672
COLEGIO CRISTAO EBENEZER,RUA PONTE NOVA,723,COLEGIO BATISTA,31110150,MG,Belo Horizonte,31,34215617
ENFERMIG ESC DE ENFERM DE MG,AVENIDA AMAZONAS,1493,SANTO AGOSTINHO,30180002,MG,Belo Horizonte,31,33378717
CRECHE CRIANCAS DE SANTO ANTONIO,AVENIDA DO CONTORNO,6738,LOURDES,30110044,MG,Belo Horizonte,31,32270032
CRECHE ABRIGO JESUS,RUA COSTA SENNA,959,PADRE EUSTAQUIO,30720350,MG,Belo Horizonte,31,34629035
CENTRO INFANTIL PUPILEIRA ERNANI AGRICOLA,RUA SAO JOAQUIM,1177,SAGRADA FAMILIA,31035470,MG,Belo Horizonte,31,32450712
CRECHE COMUNITARIA TERRA NOVA,RUA DOS CARVALHOS,124,SION,30315320,MG,Belo Horizonte,31,32874667
COLEGIO MAGNUM AGOSTINIANO BURITIS,RUA JOSE HEMETERIO ANDRADE,850,BURITIS,30493180,MG,Belo Horizonte,31,21389000
CENTRO INFANTIL BERENICE CATAO MAGALHAES PINTO,RUA SAO ROQUE,1150,SAGRADA FAMILIA,31035460,MG,Belo Horizonte,31,34829294
CRECHE PADRE EUSTAQUIO,RUA HENRIQUE GORCEIX,340,PADRE EUSTAQUIO,30720416,MG,Belo Horizonte,31,25315488
ESCOLA SEB UNIMASTER,RUA ENGENHEIRO ALBERTO PONTES,280 E 165,BURITIS,30492020,MG,Belo Horizonte,31,30797054
COLEGIO LE PETIT,RUA HENRIQUE GORCEIX,1906,PADRE EUSTAQUIO,30720360,MG,Belo Horizonte,31,34111202
IDEIA DE CRIANCA,RUA SALDANHA DA GAMA,101,COLEGIO BATISTA,31110210,MG,Belo Horizonte,31,34444838
ESCOLA INFANTIL VOVO HONORATO,RUA SAO LUCAS,457,SAGRADA FAMILIA,31030310,MG,Belo Horizonte,31,34674582
ESC CRISTA ARCA DA ALIANCA,RUA OLINTO MAGALHAES,526,PADRE EUSTAQUIO,30730500,MG,Belo Horizonte,31,34129567
